원단구분,용도,혼용율,구성원사/번수,밀도,조직,후가공,상품명,단위면적당 무게,두께
KNIT,Active,"POLYESTER 94%, POLYURETHANE 6%",,,,CIRCULAR KNIT PD WET FINISHED,JERS53(SJ-98118),16.212,0.37
KNIT,Top,POLYESTER 100%,,,,,D-8100,14.596,0.59
KNIT,Top,POLYESTER 100%,,,,,LUC-2,17.828,0.57
KNIT,Top,"POLYESTER 99%,  POLYCARBONATE 1%",,,,,D-6600,16.566,0.65
KNIT,Top,POLYESTER 100%,,,,,S-304,19.04,0.65
KNIT,Top,"POLYESTER 67%, NYLON 24%, POLYURETHANE 9%",,,,TWO TONE VELVET SCREEN PRINT BURN OUT,H180239,17.374,0.52
WOVEN,Active,,,,,,,6.667,0.23
WOVEN,Active,,,,,,,7.071,0.23
KNIT,Outer,,,,,,,31.667,1
KNIT,Outer,,,,,,,31.667,1
KNIT,Top,,,,,,,29.949,0.9
KNIT,Outer,,,,,,,22.929,0.93
KNIT,Outer,,,,,,,28.737,1.01
KNIT,Top,,,,,,,15.909,0.7
KNIT,Top,,,,,,,20.505,0.7
KNIT,Active,,,,,,,19.192,0.72
KNIT,Top,,,,,,,13.737,0.51
WOVEN,Outer,"POLYESTER 91%, POLYURETHANE 9%",,,,,CYSFJ-079,15.051,0.39
WOVEN,Outer,"NYLON 77%, POLYURETHANE 23%",,,,,CYSLS-1026,25.455,0.61
WOVEN,Outer,"POLYESTER 97%, POLYURETHANE 3%",,,,,CYSSC-3111,34.646,0.89
WOVEN,Outer,"NYLON 62%, B 17%, POLYURETHANE 8%",,144*145,,,CYSZD-097,28.99,0.84
WOVEN,Outer,"POLYESTER 97%, POLYURETHANE 3%",,,,,CYSZD-0341_b,16.212,0.44
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",,190*90,,,CYSZD-0465,18.687,0.6
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",,250*110,,,CYSLJ-1101,25.455,0.53
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",,264*117,,,CYSLJ-1086_g,16.667,0.36
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",, 250*110,,,CYSLJ-0153,21.97,0.42
WOVEN,Outer,"NYLON 77%, POLYESTER 15%, POLYURETHANE 8%",N70D+NP70D+SP70D,,,,CYSLJ-1086_b,14.444,0.33
WOVEN,Outer,NYLON 100%,N70D*N70D,,,,CYSFY-190018,25.909,0.95
WOVEN,Outer,"NYLON 96%, POLYURETHANE 4%",,,,,CYS09,7.929,0.2
WOVEN,Outer,NYLON 100%,N75D*N100D,,,,CYS25,18.283,0.48
WOVEN,Outer,"COTTON 68%, POLYESTER 32%",C/N80'S 고신축,,,"PD, 유연, TB",CYS30,12.475,0.28
WOVEN,Outer,"COTTON 65%, POLYESTER 35%",C/N60'S 고신축,,,"PD, 표, 유연",3,16.414,0.34
WOVEN,Outer,,,,DOBBY ,,4,19.394,0.41
WOVEN,Outer,"NYLON 54%, COTTON 46%",N/C50'S,,,"PD, WR, SC",5,18.232,0.49
WOVEN,Outer,POLYESTER 100%,P75D,,DOBBY ,"PD, WR, SC",6,11.566,0.27
WOVEN,Outer,"COTTON 64%, POLYESTER 36%",C/P40'S 고신축,,TWILL,"PD, 유연",8,16.465,0.36
WOVEN,Outer,POLYESTER 100%,P/P300D,,,"PD, 유연",10,19.04,0.41
WOVEN,Outer,"NYLON 57%, COTTON 33%, POLYURETHANE 10%",N/C50'S 2WAY,,,"PD, 유연",13,17.879,0.38
WOVEN,Outer,NYLON 100%,N/N70D,,PLAIN,"PD, WR",15,21.465,0.64
WOVEN,Outer,"POLYESTER 40%, COTTON 39%, POLYURETHANE 11%, NYLON 10%",NP/C20 SPAN,,,"PD, 표, 유연",16,11.061,0.26
WOVEN,Outer,"NYLON 76%, COTTON 24%",N/C210*20,,OXFORD,"PD, WR",19,20.354,0.4
WOVEN,Outer,"COTTON 61%, NYLON 39%",N/C20'S ,,,"PD, WR, TB",29,24.04,0.5
WOVEN,Outer,"NYLON 66%, COTTON 34%",N/NC10'S ,,," PD, WR",30,13.939,0.33
WOVEN,Outer,"NYLON 58%, COTTON 42%",N/NC30'S ,,,"PD, 유연",31,25.152,0.53
WOVEN,Outer,"COTTON 63%, NYLON 37%",N/C20'S,,1/2 TWILL,"PD, 표, WR",32,11.869,0.29
WOVEN,Outer,"COTTON 55%, NYLON 45%",N/C30'S/2,,,"PD, WR",33,13.687,0.31
WOVEN,Outer,"NYLON 55%, COTTON 45%",N/C30'S,,,"PD, 표, WR",34,12.778,0.34
WOVEN,Outer,"NYLON 55%, COTTON 45%",N/C30'S,,PLAIN,"PD, WR",35,11.212,0.27
WOVEN,Outer,"NYLON 60%, COTTON 40%",,,RIB,"PD, WR, TB",36,11.667,0.29
WOVEN,Outer," COTTON 59%, POLYESTER 33%, NYLON 8%",,,OTTOMAN,"PD, 유연",50,12.222,0.3
WOVEN,Outer,"POLYESTER 60%, COTTON 25%,  NYLON 10%, POLYURETHANE 5%",NP/C30,,TWILL,"PD, 표, 유연, BIO",57,15.202,0.35
WOVEN,Outer," COTTON 52%, POLYESTER 38%, NYLON 10%",NP/C10'S ,,PLAIN," PD, 표, WR, TB",58,20.354,0.43
WOVEN,Outer," COTTON 45%, POLYESTER 39%, NYLON 16%",NP/C20'S,,PLAIN," PD, 표, WR",60,23.081,0.43
WOVEN,Outer," COTTON 69%, POLYESTER 25%, NYLON 6%",C/PN40'S,,TWILL,"PD, 표, WR",61,18.131,0.4
WOVEN,Outer," POLYESTER 43%, COTTON 39%, NYLON 18%",NP/C30'S,,PLAIN,"PD, 표, WR",64,18.03,0.38
WOVEN,Outer,"COTTON 75%, NYLON 25%",C/N30'S,,2/2 TWILL,"PD, WR",65,15.606,0.33
WOVEN,Outer,"COTTON 68%,  NYLON 29%, POLYURETHANE 3%",C/N20*140,,,"PD, 표, 유연",67,17.424,0.4
WOVEN,Outer,"COTTON 72%,  NYLON 32%, POLYURETHANE 4%",C/N30'S,,TWILL,"PD, 표, WR",69,17.879,0.42
WOVEN,Outer,"COTTON 66%, NYLON 34%",C/N60'S,,STWL,"PD, 표, SET",71,22.677,0.47
WOVEN,Outer,"COTTON 64%, NYLON 32%, POLYURETHANE 4%",C/N40'S SPAN,,DOUBLE,"PD, SET",73,13.838,0.33
WOVEN,Outer,"COTTON 68%, POLYESTER 32%",C/P60'S,,MONO STWL,"PD, 비불",74,19.848,0.44
WOVEN,Outer,"COTTON 66%, RAYON 34%",C/R50'S,,1/3 TWILL,"PD, 표, SET",78,11.465,0.25
WOVEN,Outer,"POLYESTER 51%, NYLON 26%, COTTON 23%",P/NP+C 75*10,,,"PD, WR",80,15.808,0.35
WOVEN,Outer,"NYLON 88%, POLYURETHANE 12%",,,DOUBLE,"PD, 에코",87,28.283,0.62
WOVEN,Outer,POLYESTER 100%,P/P65*75,,,"PD, 비불",89,17.626,0.54
WOVEN,Outer,POLYESTER 100%,P/P75*150,,,"PD, WR",96,11.818,0.24
WOVEN,Outer,"POLYESTER 70%, NYLON 30%",NP/NP50/120,,,"PD, WR",97,17.576,0.35
WOVEN,Outer,"COTTON 70%, NYLON 30%",NP/NP 75*150,,,"PD, 표, WR, TB",98,14.343,0.36
WOVEN,Outer,"POLYESTER 52%, COTTON 48%, ",P/C 100*30,,OTTOMAN,"PD, 유연",99,17.273,0.34
WOVEN,Outer,"POLYESTER 42%, COTTON 58%, ",C/P20'S,,2/2 TWILL,"PD, 표, WR",105,14.949,0.33
WOVEN,Outer,"POLYESTER 42%, COTTON 58%, ",C/P20'S,,2/2 TWILL,"PD, 표, WR",107,18.283,0.38
KNIT,Outer,"CVC(50/50) (Recycle 35%) MVS[50%], CVC(50/50) (Recycle 35%) MVS[50%]",CVC(50/50) (Recycle 35%) MVS 30'S/1[50%]+CVC(50/50) (Recycle 35%) 30'S/1//2[50%],,,,TN-983,41.566,1.18
KNIT,Outer,"CM[45.2%], POLYESTER(FT 30%) MVS[35.2%], POLYESTER[19.6%]",CM10'S/1[45.2%]+P(FT 30%) MVS 30'S/1[35.2%]+P150D/48F/1//2 DTY[19.6%],,,,TN-543,34.495,1.19
KNIT,Outer,"POLYESTER(70/30) (FT 30%) MVS[55.5%], CM[44.5%]",P(70/30) (FT 30%) MVS 30'S/1[55.5%]+CM30'S/1[44.5%],,,,TN-911,29.343,0.93
KNIT,Outer,T/C(65/35) (LM FIT 10%) HUVIS[100%] ,T/C(65/35) (LM FIT 10%) HUVIS 30'S/1[100%] ,,,,TN-139_blue,16.566,0.53
KNIT,Outer,T/C(65/35) (LM FIT 15%) HUVIS[100%] ,T/C(65/35) (LM FIT 15%) HUVIS 30'S/1[100%] ,,,,TN-138,16.414,0.55
KNIT,Outer,T/C(65/35) (LM FIT 20%) HUVIS[100%] ,T/C(65/35) (LM FIT 20%) HUVIS 30'S/1[100%] ,,,,TN-137,16.263,0.56
KNIT,Outer,T/C(65/35) (LM FIT 25%) HUVIS[100%] ,T/C(65/35) (LM FIT 25%) HUVIS 30'S/1[100%] ,,,,TN-136,16.364,0.57
KNIT,Outer,CVC(50/50) (LM FIT 10%) HUVIS[100%] ,CVC(50/50) (LM FIT 10%) HUVIS 30'S/1[100%] ,,,,TN-146,16.061,0.55
KNIT,Outer,CVC(50/50) (LM FIT 20%) HUVIS[100%] ,CVC(50/50) (LM FIT 20%) HUVIS 30'S/1[100%] ,,,,TN-148,15.808,0.55
KNIT,Outer,CVC(50/50) (LM FIT 25%) HUVIS[100%] ,CVC(50/50) (LM FIT 25%) HUVIS 30'S/1[100%] ,,,,TN-149,15.354,0.55
KNIT,Outer,POLYESTER(LM FIT 10%)[100%] ,P(LM FIT 10%) 30'S/1[100%] ,,,,TN-072,15.758,0.47
KNIT,Outer,POLYESTER(LM FIT 15%)[100%] ,P(LM FIT 15%) 30'S/1[100%] ,,,,TN-073,15.202,0.47
KNIT,Outer,POLYESTER(LM FIT 25%) [100%] ,P(LM FIT 25%) 30'S/1[100%] ,,,,TN-075,16.061,0.51
KNIT,Outer,"CM[63.59%], POLYESTER(LM FIT 25%)[36.41%]",CM20'S/1[63.59%]+P(LM FIT 25%) 30'S/1[36.41%],,,,TN-093,23.99,0.8
KNIT,Outer,PE 30/1 (LM FIT 15%) [36.66%] + TC 30/1 (65/35) [36.17%] + DTY 75D/36F/1 [27.18%],,,,,TN-117_black,35.354,1.01
KNIT,Outer,"CVC(50/50) (LM FIT 20%) MVS[62.72%], CVC(50/50)[37.28%]",CVC(50/50) (LM FIT 20%) MVS 28'S/1[62.72%]+CVC(50/50) 20'S/1[37.28%],,,,TN-139_black,24.444,0.77
KNIT,Outer,"RTK[63.4%], POLYESTER[36.6%]",RTK170D/96F SD[63.4%]+P150D/96F DTY[36.6%],,,,TN-204,28.586,0.84
KNIT,Outer,"POLYESTER(MELANISM 10%) MVS[43.83%], CM[21.33%], T/C(65/35)[21.33%], POLYESTER[13.51%]",P(MELANISM 10%) MVS 30'S/1[43.83%]+CM30'S/1[21.33%]+T/C(65/35) 30'S/1[21.33%]+P75D/36F/1 DTY[13.51%],,,MELANISM,TN-634,28.485,0.89
WOVEN,Outer,"COTTON 64%, NYLON 32%, POLYURETHANE4%",,,,,CYSLJ-0108,16.818,0.37
WOVEN,Active,NYLON 100%,N20D*N20D,,,,CYS02,4.242,0.06
WOVEN,Active,NYLON 100%,N20D*N20D,,,,CYS03,3.889,0.08
WOVEN,Active,NYLON 100%,,,,,CYS04,5.303,0.12
WOVEN,Active,POLYESTER 100%,P50D*P50D,,,,CYS11,7.02,0.13
WOVEN,Active,NYLON 100%,N30D*N30D,,,,CYS12,5.202,0.09
WOVEN,Active,NYLON 100%,N20D*N20D,,,,CYS13,5.758,0.08
WOVEN,Active,NYLON 100%,N20D*N21D,,,,CYS14,5,0.1
WOVEN,Active,NYLON 100%,N20D*N22D,,,,CYS15,7.576,0.11
WOVEN,Active,NYLON 100%,N20D*N23D,,,,CYS17,8.838,0.19
WOVEN,Active,POLYESTER 100%,P50D*P50D,,,,CYS18,7.374,0.19
WOVEN,Active,POLYESTER 100%,P50D*P51D,,,,CYS19,10.303,0.17
WOVEN,Active,POLYESTER 100%,P150D*P150D,,,,CYS21,13.283,0.32
WOVEN,Active,POLYESTER 100%,P50D*P51D,,,,CYS22,11.465,0.22
WOVEN,Active,POLYESTER 100%,P75D*P75D,,,,CYS23,14.646,0.32
WOVEN,Active,POLYESTER 100%,P50D*P51D,,,,CYS24,13.182,0.18
WOVEN,Active,POLYESTER 100%,P75D*P75D,,,,CYS26,13.434,0.47
WOVEN,Active,POLYESTER 100%,P75D*P75D,,,,CYS27,11.566,0.3
WOVEN,Active,POLYESTER 100%,P150D*P150D,,,,CYS28,13.889,0.36
WOVEN,Active,POLYESTER 100%,P75D*P75D,,,,CYS29,11.919,0.23
WOVEN,Outer,POLYESTER 100%,P/P75,,,"PD, WR",12,15,0.31
WOVEN,Outer,"COTTON 50%, NYLON 50%",N/C40*60,,PLAIN,"PD, WR",88,8.889,0.23
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%","P75D/72F DTY(92%), SPAN(8%)",,SINGLE SPAN,,GO-488,14.495,0.48
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%","CDP85D/96F(92%), SPAN 20D(8%)",,SINGLE,,GO-577P,16.263,0.47
KNIT,Active,"POLYESTER 88%, POLYURETHANE 12%","P75D/72F DTY, PF50D/36F(88%), SP30D(12%)",,EYELET MESH,,GO-663,14.848,0.45
KNIT,Active,"POLYESTER 90%, POLYURETHANE 10%","P75D/72F DTY(74%), PF50D/36F(16%), SP20D(10%)",,,,GO-698PAT,11.97,0.43
KNIT,Active,"POLYESTER(PET/CD) 92%, POLYURETHANE 8%","P30D/24F DTY+CD50D/24F(92%), SP20D(8%)",,,,GO-936,15.354,0.43
KNIT,Active,"POLYETHYLENE(MOKA 39%) 91%, POLYURETHANE 9%","P75D/72F DTY(52%), MOKA.C85D/96F(39%), SP20D(9%)",,,,GO-995PMK-V1,17.677,0.48
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%","P75D/72F DTY(92%), SP20D(8%)",,,,GO-1005,25.101,0.74
KNIT,Active,"POLYPROPYLENE(XN-LIGHT) 45%, POLYESTER 43%, POLYURETHANE 12%","PP50D/ P30D/72F DTY (67%), PF50D/36F(21%), 저온SP20D(12%)",,,,GO-1142-XN,14.646,0.5
KNIT,Active,"POLYESTER 91%, POLYURETHANE 9%","P75D/72F DTY(85%), SP20D(9%), PF50D/36F(6%)",,,,GO-1191,15.657,0.46
KNIT,Active,"POLYESTER 93%, POLYURETHANE 7%","P75D/72F DTY(93%), SP20D(7%)",,,,GO-1202,26.515,0.66
KNIT,Active,"POLYESTER(COTNA) 92%, POLYURETHANE 8%","COTNA P160D/108F(92%), SP40D(8%)",,양면민자,,GO-1207CN,25.101,0.58
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%","P75D/72F DTY(92%), SP30D(8%)",,,,GO-1219,16.717,0.46
KNIT,Outer,"POLYESTER 92%, POLYURETHANE 8%","COTNA P160D/144F(92%), SP30D(8%)",,,,GO-1231-BR2,21.515,0.73
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%","P75D/36F DTY(58%), P50D/36F DTY(37%), SP15D(5%)",,,,GO-1255,22.879,0.71
KNIT,Active,"POLYESTER 90%, POLYURETHANE 10%","P75D/144F DTY(카치온느낌)(45%), P75D/72F DTY(45%), SP20D(10%)",,SINGLE SPAN(카치온느낌),,GO-1576,14.343,0.45
KNIT,Active,"POLYESTER 95%, POLYURETHANE 5%","CD P75D/72F(60%), P50D/72F DTY(35%), SP15D(5%)",,다이아이중지,,GO-1630P-V1,17.727,0.55
KNIT,Active,"POLYESTER 86%, POLYURETHANE 14%","P150D/144F(86%), SP70D(14%)",,SINGLE SPAN,,GO-1699,29.495,0.73
KNIT,Active,"POLYESTER 91%, POLYURETHANE 9%","P150D/144F DTY(91%), SP40D(9%)",,SINGLE SPAN(양도),,GO-1715,24.545,0.63
KNIT,Active,"POLYESTER 89%, POLYURETHANE 11%","P75D/72F DTY(85%), SP30D(11%), PF30D/24F(4%)",,SINGLE SAPN MESH,,GO-1752,14.495,0.46
KNIT,Active,"POLYESTER(ASKIN PRIZMA) 90%, POLYURETHANE 10%","ASKIN PRIZMA P80D/84F(90%), SP20D(10%)",,,,GO-1969ASPL,15.051,0.42
KNIT,Active,"POLYESTER(ASKIN PRIZMA 48%, ASKIN 44%) 92%, POLYURETHANE 8%","ASKIN PRIZMA 80/84(48%), ASKIN 75/36(44%), SP 30D(8%)",,SINGLE SPAN PIQUE,,GO-1988ASPL,14.899,0.43
KNIT,Active,"POLYESTER 85%, POLYURETHANE 15%","P75D/72F DTY(85%), SP30D(15%)",,SINGLE SAPN(양도),,GO-2012,17.475,0.46
KNIT,Active,"POLYESTER 82%, POLYURETHANE 18%","P75D/144F DTY(82%), SP40D(18%)",,SINGLE SAPN(양도),,GO-2073,18.737,0.45
KNIT,Active,"NYLON 78%, POLYURETHANE 22%","N70D/68F(78%), SP55D(22%)",,SINGLE SAPN(양도),,GO-2081N,21.061,0.52
KNIT,Active,"POLYESTER(PRIZMA) 90%, POLYURETHANE 10%","PRIZMA(CDW) P75D/72F(90%), SP30D(10%)",,SINGLE SAPN,MELANGE,GO-2084PPL,13.99,0.44
KNIT,Active,"POLYESTER(PRIZMA 76%) 93%, POLYURETHANE 7%","효성PRIZMA(CDW) P75D/72F(76%), CD P75D/36F(17%), SP20D(7%)",,,,GO-2087PPL,13.333,0.47
KNIT,Active,"POLYESTER 93%, POLYURETHANE 7%","P100D/192F DTY(93%), SP20D(7%)",,,,GO-2124-BR,15.556,0.47
KNIT,Active,"POLYESTER 92%, POLYURETHANE 8%","P150D/144F(92%), SP(8%)",,SINGLE SAPN(양도),,GO-2163,26.515,0.54
KNIT,Active,"POLYESTER 85%, POLYURETHANE 15%","P150D/48F DTY 원착 BLACK(85%), SP70D(15%)",,SINGLE SAPN,원착 BLACK,GO-2237,32.172,0.76
KNIT,Active,"POLYESTER 96%, POLYURETHANE 4%","P75D/36F BRT(56%), CD P150D/48F(40%), SP30D(4%)",,,,GO-2244P-CDP,14.747,0.6
KNIT,Active,"POLYESTER(PRIZMA 38%) 93%, POLYURETHANE 7%","P75D/72F DTY(41%), PRIZMA(CDW) P75D/72F(38%), P30D/24F DTY(14%), SP15D(7%)",,양면 크라운 (양도),,GO-2255PPL,23.182,0.75
KNIT,Active,"POLYESTER 94%, POLYURETHANE 6%","레아 인팅 P80D(73%), CD P75D/36F(21%), SP15D(6%)",,,,GO-2263P-CDP,12.879,0.43
KNIT,Active,"POLYESTER 84%, POLYURETHANE 16%","CDW P55D SINGLE SPAN/ CDW P55D/60F(84%), SP20D(16%)
",,,,GO-2322PL,13.131,0.37
KNIT,Active,"POLYESTER(THERMOLIGHT 45%) 93%, POLYURETHANE 7%","P75D/72F DTY(48%), THERMOLITE P70D/96F(45%), 소취 SP20D(7%)",,,,GO-2332TML,14.444,0.47
KNIT,Active,"POLYESTER(COTNA) 85%, POLYURETHANE 15%","COTNA P80D/72F(85%), SP55D(15%)",,,,GO-2378CN,19.798,0.7
KNIT,Active,"POLYESTER(RECYCLE 100%) MVS[54.55%], POLYESTER(SOFTCOOL)[40.35%], BSY[5.1%]",P(RECYCLE 100%) MVS 30'S/1[54.55%]+P75D/48F/1 DTY(SOFTCOOL)[40.35%]+BSY20D[5.1%],,,,TN-244,24.192,0.73
KNIT,Active,"CM(COMPACT)[93%], BSY(COTTON DYEABLE)[7%]",CM(COMPACT) 40'S/1[93%]+BSY(COTTON DYEABLE)30D[7%],,,,TN-611A,15.253,0.52
WOVEN,Outer,"POLYESTER 92%, POLYURETHANE 8%",,,,,CYSYR-007,18.081,0.38
WOVEN,Outer,"NYLON 93%, POLYURETHANE 7%",,132*90,,,CYSFJ-064,15.253,0.39
WOVEN,Top,"POLYESTER 95%, POLYURETHANE 5%",, 117*93,,,CYSFJ-069P,15.051,0.42
WOVEN,Top,"POLYESTER 95%, POLYURETHANE 5%",,117*93,,,CYSFJ-077,12.273,0.42
WOVEN,Top,"TENCEL 92%, POLYURETHANE 8%",,122*84,,,CYSFJ-055,14.293,0.42
WOVEN,Outer,"NYLON 90%, POLYURETHANE 10%",,144*145,,,CYSZD-0300,13.485,0.44
WOVEN,Top,"NYLON 62%, B 17%, POLYURETHANE 8%",,,,,CYSZD-0341_n,16.061,0.45
WOVEN,Top,POLYESTER 100%,,,,,CYSSY-014,10.101,0.32
WOVEN,Outer,"COTTON 58%, NYLON 38%, POLYURETHANE4%",C40'S*N140D+SP40D,,,,CYSTG-0647,14.495,0.31
WOVEN,Outer,"COTTON 97%, POLYURETHANE 3%",C60'S*50'S+N40D,206*114,,,CYSLJ-0107,14.747,0.29
WOVEN,Top,"NYLON 72%, COTTON 28%",,,,,CYS10,8.939,0.22
WOVEN,Active,POLYESTER 100%,P75D*P75D,,,,CYS16,8.03,0.2
WOVEN,Top,"COTTON 74%, NYLON 26%",C/N80'S,,PLAIN,"PD, 유연",1,8.636,0.21
WOVEN,Active,"COTTON 73%, NYLON 20%, POLYURETHANE 7%",C/N80'S,,PLAIN,"PD, 유연",2,8.283,0.21
WOVEN,Top,"COTTON 64%, POLYESTER 36%",C/P40'S 고신축,,PLAIN,"PD, 유연",9,11.313,0.28
WOVEN,Outer,POLYESTER 100%,,,,"PD, WR",11,14.495,0.34
WOVEN,Top,NYLON 100%,N/N50,,,"PD, 표, WR",14,7.424,0.22
WOVEN,Outer,"NYLON 66%, B 31%, POLYURETHANE 3%",N/NB40 ,,,"PD, 유연, TB",17,12.525,0.29
WOVEN,Active,NYLON 100%,N/N20,,,"PD, WR",20,5.354,0.14
WOVEN,Top,"POLYESTER 46%, NYLON 33%, COTTON 21%",NP/NC80'S,,PLAIN,"PD, WR, TB",38,8.283,0.24
WOVEN,Outer,"NYLON 74%, COTTON 26%",N/NC50'S,,PLAIN,"PD, WR",39,10.96,0.25
WOVEN,Top,"NYLON 54%, COTTON 46%",N/C50'S,,,"PD, WR",40,9.848,0.25
WOVEN,Top,"NYLON 72%, COTTON 28%",N/NC60'S,,STWL,"PD, WR",41,9.697,0.25
WOVEN,Active,"NYLON 53%, COTTON 47%",N/C60'S,,,"PD, WR",43,8.939,0.22
WOVEN,Top,"NYLON 52%, COTTON 48%",N/NP320,,,"PD, 표, 비불, TB",46,18.384,0.41
WOVEN,Top,"POLYESTER 73%, NYLON 27%",,,,"PD, WR, TB",52,12.172,0.3
WOVEN,Top,"COTTON 95%, POLYURETHANE 5%",C80'S*60'S,,1/2 TWILL,"PD, 유연",66,12.071,0.27
WOVEN,Outer,"COTTON 64%, NYLON 36%",C/N60'S*70'S,,2/3 TWILL," PD, WR, TB",76,12.576,0.3
WOVEN,Outer,"COTTON 70%, LINEN 30%",C/L20'S*16'S,,,"PD, SET",84,13.485,0.38
WOVEN,Top,"COTTON 65%, NYLON 35%",C/N60'S,,PLAIN,"PD, WR",86,8.99,0.24
KNIT,Top,POLYESTER 100%,P75D/36F DTY(100%),,양면 담보루,,GO-90,19.596,0.77
KNIT,Top,POLYESTER(PRIZMA) 100%,PRIZMA(CDW) P75D/72F(100%),,,,GO-265PL,16.364,0.64
KNIT,Top,POLYESTER(AEROCOOL 33%) 100%,"CD/P 인팅 150D/72F(67%), AEROCOOL P75D/36F(33%)",,라코스테 PIQUE,,GO-483PAC,13.939,0.56
KNIT,Top,POLYESTER 100%,P75D/72F DTY/ P75D/36F DTY(100%),,,,GO-0622P,20.455,0.81
KNIT,Top,POLYESTER 100%,"P150D/72F DTY(67%), P75D/36F DTY(33%)",,,,GO-641,12.929,0.5
KNIT,Top,"POLYESTER(PRIZMA) 66%, POLYPROPYLENE(XN-LIGHT) 34%","효성 PRIZMA(CDW) P75D/72F(66%), PP50D/24F(34%)",,"DOUBLE, 사카리바",,GO-1256PLPP,13.182,0.6
KNIT,Top,POLYESTER 100%,"P200D/288F DTY(51%), CD P75D/36F(49%)",,양면 사각 기모지 (양도),,GO-1622CDP-BR,22.222,0.83
KNIT,Top,POLYESTER 100%,"레아 인팅 P150D/72F(40%), P150D/96F DTY(40%), P100D/48F DTY(20%)",,단면 카치온 노스판 담보루 (양도),,GO-1642P-CDP,26.667,0.91
KNIT,Top,"POLYESTER 71%, RAYON 29%","T/R(65/35) MVS 30'S/1(82%), P50D/36F DTY(11%), P150D/48F DTY(7%)",,담보루 (양도),,GO-1714T/R,25.101,0.88
KNIT,Top,POLYESTER 100%,"PRIZMA(CDW) 대만수입사 100D/144F(35%), SSY P100D/24F(35%), P200D/288F DTY(30%)",,SINGLE 사선지,,GO-1717,18.283,0.63
KNIT,Top,POLYESTER(PRIZMA 92%) 100%,"PRIZMA(CDW) P75D/72F(92%), CD PF50D/24F(8%)",,SINGLE,,GO-1856PPL,9.899,0.43
KNIT,Top,POLYESTER 100%,"P80D(53%), CD P75D/36F(47%)",,양면 사각 카치온,,GO-2097P-CDP,14.495,0.6
KNIT,Top,"POLYESTER 79%, COTTON 21%","P100D/48F DTY(62%), CM C30'S/1(MG 바트60%)(21%), P150D/144F DTY(17%)",,DOUBLE CORDUROY(양도),,GO-2201C,22.323,0.95
KNIT,Top,POLYESTER 100%,P75D/36F DTY(100%),,,,GO-172,14.293,0.44
